plan_id,plan_name,description,difficulty_level,goal,equipment,training_part
19, Full-Body Stretching, "This plan is designed to improve flexibility and mobility through a combination of stretching exercises that target all major muscle groups.",Beginner,Increase Flexibility and Mobility,Yoga Mat,Full Body
20, Bodybuilding, "This plan is designed for individuals who want to build muscle mass and increase overall strength through weightlifting exercises.",Advanced,Increase Muscle Mass and Strength,Barbell and Dumbbells,Full Body
21, Yoga for Balance and Stability, "This plan uses yoga poses and exercises to improve balance and stability.",Intermediate,Improve Balance and Stability,Yoga Mat,Full Body
22, Suspension Training for Core Strength, "This plan focuses on using TRX suspension straps to help you strengthen and tone your core muscles.",Intermediate,Tone Abs and Glutes,TRX Suspension Straps,Core
23, Functional Training, "This plan is designed to improve overall fitness and strength by using exercises that mimic real-life movements.",Intermediate,Improve Overall Fitness and Strength,Resistance Bands and Dumbbells,Full Body
24, Marathon Training, "This plan is designed to help you train for a marathon by including a combination of long-distance running workouts and strength training exercises.",Advanced,Train for a Marathon,Running Shoes,Full Body
25, Cardio Dance, "This plan uses dance moves and music to help you get in shape and improve cardiovascular fitness.",Beginner,Increase Cardiovascular Fitness,Music and Dancing Shoes,Cardio
26, Powerlifting, "This plan is designed for individuals who want to improve overall strength and power through weightlifting exercises.",Advanced,Increase Strength and Power,Barbell,Full Body
27, Yoga for Strength and Flexibility, "This plan uses yoga poses and exercises to help you increase both strength and flexibility.",Intermediate,Increase Strength and Flexibility,Yoga Mat,Full Body
28, Low-Impact Cardio, "This plan is designed for individuals who want to improve cardiovascular fitness without putting too much stress on the joints.",Beginner,Increase Cardiovascular Fitness,Stationary Bike,Cardio
29, Circuit Training for Muscle Definition, "This plan uses a combination of resistance and cardio exercises to help you tone muscles and improve overall fitness.",Intermediate,Tone Muscles and Improve Cardiovascular Fitness,Dumbbells and Treadmill,Full Body
30, Bodyweight Training for Women, "This plan uses only bodyweight exercises to help women build strength and tone muscles.",Beginner,Tone Muscles and Increase Strength,None,Full Body
31, Restorative Yoga, "This plan uses gentle yoga poses and breathing techniques to help you reduce stress and promote relaxation.",Beginner,Reduce Stress and Promote Relaxation,Yoga Mat,Full Body
32, Yoga for Posture, "This plan uses yoga poses and exercises to help you improve posture and alignment.",Intermediate,Improve Posture,Yoga Mat,Full Body
33, Bodyweight HIIT, "This plan uses high-intensity bodyweight exercises to help you burn fat and improve cardiovascular fitness.",Intermediate,Burn Fat and Improve Cardiovascular Fitness,None,Full Body
34, Cardio and Core, "This plan combines cardio and core exercises to help you burn fat and strengthen your core muscles.",Intermediate,Burn Fat and Tone Abs and Glutes,None,Cardio and Core
35, Yoga for Back Pain, "This plan uses yoga poses and exercises to help you reduce back pain and improve spinal health.",Beginner,Reduce Back Pain,Yoga Mat,Full Body
36, Cross Training, "This plan uses a combination of exercises from different sports and activities to help you improve overall fitness and athletic performance.",Advanced,Improve Overall Fitness and Athletic Performance,Various Equipment,Full Body
37, Cardio and Strength Combo, "This plan combines cardio and strength training exercises to help you improve overall fitness and burn fat.",Intermediate,Improve Cardiovascular Fitness and Burn Fat,None,Full Body
38, Yoga for Meditation, "This plan uses yoga poses and breathing techniques to help you increase mindfulness and promote relaxation.",Beginner,Increase Mindfulness,Yoga Mat,Full Body
39, Functional Resistance Training, "This plan uses resistance exercises that mimic real-life movements to help you improve overall fitness and strength.",Intermediate,Improve Overall Fitness and Strength,Resistance Bands and Dumbbells,Full Body
40, TRX Cardio, "This plan uses TRX suspension straps and cardio exercises to help you improve cardiovascular fitness and burn fat.",Intermediate,Improve Cardiovascular Fitness and Burn Fat,TRX Suspension Straps,Cardio
41, Bodyweight Cardio, "This plan uses bodyweight exercises to help you improve cardiovascular fitness and burn fat.",Beginner,Improve Cardiovascular Fitness and Burn Fat,None,Full Body
42, Yoga for Digestion, "This plan uses yoga poses and breathing techniques to help you improve digestion and promote gut health.",Beginner,Improve Digestion and Gut Health,Yoga Mat,Full Body
43, Resistance Band Cardio, "This plan combines resistance band exercises and cardio workouts to help you burn fat and improve cardiovascular fitness.",Intermediate,Burn Fat and Improve Cardiovascular Fitness,Resistance Bands,Full Body
44, Yoga for Sleep, "This plan uses yoga poses and relaxation techniques to help you improve sleep and promote relaxation.",Beginner,Improve Sleep and Promote Relaxation,Yoga Mat,Full Body
45, Tabata Training, "This plan uses high-intensity interval training (HIIT) to help you burn fat and improve cardiovascular fitness.",Advanced,Burn Fat and Improve Cardiovascular Fitness,None,Full Body
46, Bodyweight for Endurance, "This plan uses bodyweight exercises to help you improve endurance and stamina.",Intermediate,Improve Endurance and Stamina,None,Full Body
47, Yoga for Strength and Balance, "This plan uses yoga poses and exercises to help you increase both strength and balance.",Intermediate,Increase Strength and Balance,Yoga Mat,Full Body
48, Bodyweight for Weight Loss, "This plan uses bodyweight exercises to help you lose weight and improve overall fitness.",Beginner,Lose Weight,None,Full Body
49, Yoga for Flexibility and Balance, "This plan uses yoga poses and exercises to help you increase flexibility and balance.",Intermediate,Increase Flexibility and Balance,Yoga Mat,Full Body
50, Bodyweight for Muscle Definition, "This plan uses bodyweight exercises to help you tone muscles and increase muscle definition.",Intermediate,Tone Muscles and Increase Muscle Definition,None,Full Body
51, Resistance Band for Muscle Definition, "This plan uses resistance bands to help you tone muscles and increase muscle definition.",Intermediate,Tone Muscles and Increase Muscle Definition,Resistance Bands,Full Body
52, Yoga for Strength and Endurance, "This plan uses yoga poses and exercises to help you increase both strength and endurance.",Intermediate,Increase Strength and Endurance,Yoga Mat,Full Body
53, Cardio and Plyometric Combo, "This plan combines cardio and plyometric exercises to help you burn fat and improve athletic performance.",Advanced,Burn Fat and Improve Athletic Performance,None,Full Body
54, Bodyweight for Core Strength, "This plan uses bodyweight exercises to help you strengthen and tone your core muscles.",Intermediate,Tone Abs and Glutes,None,Core
55, Yoga for Upper Body Strength, "This plan uses yoga poses and exercises to help you increase upper body strength and tone muscles.",Intermediate,Increase Upper Body Strength and Tone Muscles,Yoga Mat,Upper Body
56, Bodyweight HIIT for Weight Loss, "This plan uses high-intensity bodyweight exercises to help you burn fat and lose weight.",Intermediate,Burn Fat and Lose Weight,None,Full Body
57,Full Body Strength,This workout targets all major muscle groups for full-body strength.,Advanced,Increase overall strength,Barbell,Full Body
58,High-Intensity Interval Training,This workout alternates between periods of high-intensity exercise and rest for an intense full-body workout.,Expert,Improve cardiovascular health,None,Full Body/Cardio
59,Lower Body Strength,This workout focuses on building strength in the lower body muscles.,Intermediate,Increase lower body strength,Dumbbells,Lower Body
60,Yoga for Flexibility,This yoga routine focuses on stretching and increasing flexibility.,Beginner,Improve flexibility,Yoga mat,Stretching
61,Upper Body Strength,This workout targets the muscles in the upper body for increased strength.,Intermediate,Increase upper body strength,Dumbbells,Upper Body
62,Functional Training,This workout involves movements that mimic everyday activities to improve overall fitness.,Advanced,Improve functional fitness,Resistance bands,Full Body
63,Abdominal Workout,This workout focuses on building strength in the abdominal muscles.,Beginner,Increase abdominal strength,None,Core
64,Cardio and Core,This workout combines cardio exercises with core-strengthening movements for a full-body workout.,Intermediate,Improve cardiovascular health and core strength,None,Cardio/Core
65,Full-Body Dumbbell Workout,This workout uses dumbbells to target all major muscle groups for a full-body workout.,Intermediate,Increase overall strength,Dumbbells,Full Body
66,Bodyweight Circuit Training,This workout involves a series of bodyweight exercises performed in a circuit for a full-body workout.,Beginner,Improve overall fitness,None,Full Body
67,Pilates for Core Strength,This Pilates routine focuses on strengthening the core muscles.,Beginner,Increase core strength,Pilates ball,Core
68,Bodyweight HIIT Workout,This workout involves high-intensity bodyweight exercises to improve cardiovascular fitness and overall strength.,Intermediate,Improve cardiovascular health and overall strength,None,Full Body/Cardio
69,Upper Body and Core,This workout combines upper body strength exercises with core-strengthening movements for a challenging workout.,Advanced,Increase upper body strength and core strength,Dumbbells/Core,Upper Body/Core
70,Tabata Training,"This workout involves short, high-intensity intervals of exercise with rest periods in between.",Expert,Improve cardiovascular health and overall fitness,None,Full Body/Cardio
71,Resistance Band Workout,This workout uses resistance bands to target all major muscle groups for a full-body workout.,Intermediate,Increase overall strength,Resistance bands,Full Body
72,Yoga for Stress Relief,This yoga routine focuses on relaxation and stress relief through gentle movements and breathing exercises.,Beginner,Reduce stress and improve mental well-being,Yoga mat,Stretching/Mind-Body
73,Full-Body Kettlebell Workout,This workout uses kettlebells to target all major muscle groups for a full-body workout.,Advanced,Increase overall strength,Kettlebells,Full Body
74,Barre Workout,This workout combines ballet-inspired movements with strength-training exercises for a full-body workout.,Intermediate,Improve overall fitness,None,Full Body
75,Core and Cardio,This workout combines core-strengthening exercises with high-intensity cardio movements for a challenging full-body workout.,Advanced,Increase core strength and cardiovascular health,None,Cardio/Core
76,Lower Body and Core,This workout combines lower body strength exercises with core-strengthening movements for a challenging workout.,Intermediate,Increase lower body strength and core strength,Resistance bands/Core,Lower Body/Core
77,Yoga for Strength,This yoga routine focuses on building strength through challenging poses and movements.,Intermediate,Increase overall strength,Yoga mat,Strength/Mind-Body
78,Functional Bodyweight Workout,This workout involves bodyweight exercises that mimic everyday movements to improve functional fitness.,Intermediate,Improve functional fitness,None,Full Body
79,Outdoor Cardio,"This workout involves outdoor activities like running, hiking, and cycling to improve cardiovascular fitness.",Beginner-Intermediate,Improve cardiovascular health,None,Cardio
80,Full-Body TRX Workout,This workout uses TRX suspension training to target all major muscle groups for a challenging full-body workout.,Advanced,Increase overall strength,TRX,Full Body
81,Plyometric Workout,"This workout involves explosive, high-intensity movements to improve power and speed.",Expert,Improve power and speed,None,Full Body
82,Rowing Machine Workout,This workout uses a rowing machine for a low-impact full-body cardio workout.,Intermediate,Improve cardiovascular health and overall fitness,Rowing machine,Cardio
83,Calisthenics Workout,"This workout involves bodyweight exercises like push-ups, pull-ups, and squats for a full-body workout.",Intermediate,Increase overall strength,None,Full Body
84, Flexibility and Mobility Training,This workout involves stretches and exercises that promote flexibility and mobility throughout the body.,Beginner,Improve flexibility and mobility,Yoga mat,Stretching/Mobility
85, Resistance Band Leg Workout,This workout focuses on building strength in the leg muscles using resistance bands.,Intermediate,Increase leg strength,Resistance bands,Lower Body
86, Core Stability Training,This workout involves exercises that strengthen the core muscles and improve stability.,Intermediate,Increase core strength and stability,None,Core
87, Medicine Ball Workout,This workout uses medicine balls for strength and conditioning exercises that target all major muscle groups.,Intermediate,Increase overall strength,Medicine balls,Full Body
88, HIIT Boxing Workout,This workout involves high-intensity boxing movements combined with strength and conditioning exercises for a full-body workout.,Expert,Improve cardiovascular health and overall fitness,Boxing equipment,Full Body/Cardio
89, Beginner Strength Training,This workout is designed for beginners and includes basic strength-training exercises for all major muscle groups.,Beginner,Improve overall strength,None,Full Body
90, Yoga for Balance,This yoga routine focuses on improving balance and coordination through specific poses and movements.,Beginner-Intermediate,Improve balance and coordination,Yoga mat,Mind-Body
91, Upper Body and Cardio,This workout combines upper body strength exercises with cardio movements for a full-body workout.,Intermediate,Increase upper body strength and cardiovascular health,None,Upper Body/Cardio
92, Foam Roller Recovery,This workout uses a foam roller for self-myofascial release and muscle recovery after workouts.,Beginner,Improve muscle recovery and flexibility,Foam roller,Recovery
93, Plyometric Lower Body Workout,"This workout involves explosive, high-intensity movements targeting the lower body muscles.",Advanced,Improve power and speed,Jump box,Lower Body
94, TRX Upper Body Workout,This workout uses TRX suspension training to target the muscles in the upper body for increased strength.,Intermediate,Increase upper body strength,TRX,Upper Body
95, Pilates for Posture,This Pilates routine focuses on improving posture and alignment through specific movements and exercises.,Beginner-Intermediate,Improve posture and alignment,Pilates ball,Mind-Body
96, Full-Body Suspension Training,This workout uses suspension trainers to target all major muscle groups for a challenging full-body workout.,Advanced,Increase overall strength,Suspension trainers,Full Body
97, Indoor Cycling Workout,This workout involves cycling on a stationary bike for a low-impact cardio workout.,Intermediate,Improve cardiovascular health,Stationary bike,Cardio
98, Bodyweight Back Workout,This workout focuses on building strength in the muscles of the back using only bodyweight exercises.,Intermediate,Increase back strength,None,Upper Body
99, Yoga for Sleep,This yoga routine is designed to help improve sleep quality through specific poses and breathing exercises.,Beginner,Improve sleep quality,Yoga mat,Mind-Body
100, Kettlebell Lower Body Workout,This workout uses kettlebells to target the muscles of the lower body for increased strength and conditioning.,Intermediate,Increase lower body strength and conditioning,Kettlebells,Lower Body
101, Calisthenics Core Workout,This workout involves bodyweight exercises specifically targeting the core muscles.,Intermediate,Increase core strength,None,Core
102, Circuit Training for Endurance,This workout involves a series of exercises performed in a circuit for increased cardiovascular endurance.,Intermediate,Increase cardiovascular endurance,None,Full Body/Cardio
103, Upper Body and Core with Resistance Bands,This workout combines upper body strength exercises and core-strengthening movements using resistance bands.,Advanced,Increase upper body strength and core strength,Resistance bands,Upper Body/Core
104, Cardio Kickboxing,This workout combines kickboxing movements with cardio exercises for a full-body workout.,Intermediate,Improve cardiovascular health and overall fitness,None,Cardio
105, Bodyweight Arm Workout,This workout focuses on building strength in the arm muscles using only bodyweight exercises.,Beginner,Increase arm strength,None,Upper Body
106, TRX Full-Body Circuit,This workout uses TRX suspension training in a circuit format for a full-body challenge.,Advanced,Increase overall strength and conditioning,TRX,Full Body
107, Yoga for Energy,This yoga routine is designed to increase energy and reduce fatigue through specific poses and breathing exercises.,Beginner-Intermediate,Increase energy,Yoga mat,Mind-Body
108, Resistance Band Chest and Back Workout,This workout uses resistance bands to target the muscles of the chest and back for increased strength and conditioning.,Intermediate,Increase chest and back strength,Resistance bands,Upper Body
109, Pilates for Flexibility,This Pilates routine focuses on improving flexibility and mobility throughout the body.,Intermediate,Improve flexibility and mobility,Pilates ball,Mind-Body
110, Dumbbell Leg Workout,This workout uses dumbbells to target the muscles of the legs for increased strength and conditioning.,Intermediate,Increase leg strength,Dumbbells,Lower Body
111, Bodyweight Core Circuit,This workout involves bodyweight exercises targeting the core muscles in a circuit format.,Intermediate,Increase core strength,None,Core
112, Yoga for Strength and Flexibility,This yoga routine combines strength-building poses with stretches for increased strength and flexibility.,Intermediate,Increase overall strength and flexibility,Yoga mat,Strength/Mind-Body
113, Medicine Ball Core Workout,This workout uses medicine balls to target the muscles of the core for increased strength and conditioning.,Intermediate,Increase core strength,Medicine balls,Core
114, Full-Body Resistance Band Circuit,This workout uses resistance bands in a circuit format to target all major muscle groups for a full-body challenge.,Advanced,Increase overall strength and conditioning,Resistance bands,Full Body
115, Barbell Upper Body Workout,This workout uses a barbell to target the muscles of the upper body for increased strength and conditioning.,Intermediate,Increase upper body strength,Barbell,Upper Body
116, Yoga for Anxiety,This yoga routine is designed to help reduce anxiety and improve overall mental well-being through specific poses and breathing exercises.,Beginner,Reduce anxiety and improve mental well-being,Yoga mat,Mind-Body
117, TRX Lower Body Circuit,This workout uses TRX suspension training in a circuit format to target the muscles of the lower body for increased strength and conditioning.,Advanced,Increase lower body strength and conditioning,TRX,Lower Body
118, Bodyweight Shoulder Workout,This workout focuses on building strength in the shoulder muscles using only bodyweight exercises.,Beginner,Increase shoulder strength,None,Upper Body
119, Functional Strength Circuit,This workout involves functional movements targeting all major muscle groups in a circuit format for increased strength and conditioning.,Intermediate,Improve functional strength,None,Full Body
120, Pilates for Postpartum Recovery,This Pilates routine is designed for postpartum women to help improve strength and mobility after childbirth.,Beginner-Intermediate,Improve postpartum recovery,Pilates ball,Mind-Body
121, Dumbbell Chest and Back Workout,This workout uses dumbbells to target the muscles of the chest and back for increased strength and conditioning.,Intermediate,Increase chest and back strength,Dumbbells,Upper Body
122, Yoga for Digestion,This yoga routine is designed to aid digestion and promote overall digestive health through specific poses and breathing exercises.,Beginner,Improve digestive health,Yoga mat,Mind-Body
123, Full-Body Cable Machine Workout,This workout uses cable machines to target all major muscle groups for a full-body strength-training session.,Intermediate-Advanced,Increase overall strength and conditioning,Cable machines,Full Body
124, Bodyweight Leg Circuit,This workout involves bodyweight exercises targeting the muscles of the legs in a circuit format.,Intermediate,Increase leg strength,None,Lower Body
125, Yoga for Back Pain Relief,This yoga routine is designed to help alleviate back pain and improve overall back health through specific poses and breathing exercises.,Beginner-Intermediate,Relieve back pain and improve back health,Yoga mat,Mind-Body
126, Kettlebell Upper Body Workout,This workout uses kettlebells to target the muscles of the upper body for increased strength and conditioning.,Intermediate,Increase upper body strength,Kettlebells,Upper Body
127, Plyometric Cardio Circuit,"This workout involves explosive, high-intensity movements targeting all major muscle groups in a circuit format for increased cardiovascular endurance.",Advanced,Improve cardiovascular endurance,None,Full Body/Cardio
128, Resistance Band Full-Body Workout,This workout uses resistance bands to target all major muscle groups for a full-body strength-training session.,Intermediate,Increase overall strength and conditioning,Resistance bands,Full Body
129, Bodyweight HIIT Circuit,This workout involves high-intensity bodyweight exercises targeting all major muscle groups in a circuit format for increased cardiovascular endurance.,Advanced,Improve cardiovascular endurance,None,Full Body/Cardio
130, Yoga for Menopause,This yoga routine is designed to help alleviate symptoms of menopause and promote overall health and well-being through specific poses and breathing exercises.,Beginner,Alleviate menopause symptoms and improve overall health,Yoga mat,Mind-Body
131, Dumbbell Shoulder and Arm Workout,This workout uses dumbbells to target the muscles of the shoulders and arms for increased strength and conditioning.,Intermediate,Increase shoulder and arm strength,Dumbbells,Upper Body
132, Resistance Band Glute and Leg Workout,This workout uses resistance bands to target the muscles of the glutes and legs for increased strength and conditioning.,Intermediate,Increase glute and leg strength,Resistance bands,Lower Body
133, Pilates for Balance and Stability,This Pilates routine focuses on improving balance and stability through specific movements and exercises.,Intermediate,Improve balance and stability,Pilates ball,Mind-Body
134, Barbell Lower Body Workout,This workout uses a barbell to target the muscles of the lower body for increased strength and conditioning.,Intermediate,Increase lower body strength,Barbell,Lower Body
135, Cardio Machine Circuit,This workout involves a series of cardio machine exercises targeting all major muscle groups in a circuit format for increased cardiovascular endurance.,Intermediate,Improve cardiovascular endurance,None,Full Body/Cardio
136, Bodyweight Chest Circuit,This workout involves bodyweight exercises targeting the muscles of the chest in a circuit format.,Intermediate,Increase chest strength,None,Upper Body
137, TRX Full-Body HIIT,This workout uses TRX suspension training in a high-intensity interval format to target all major muscle groups for a full-body challenge.,Advanced,Increase overall strength and conditioning,TRX,Full Body/Cardio
138, Resistance Band Core Workout,This workout uses resistance bands to target the muscles of the core for increased strength and conditioning.,Intermediate,Increase core strength,Resistance bands,Core
139, Kettlebell Core Workout,This workout uses kettlebells to target the muscles of the core for increased strength and conditioning.,Intermediate,Increase core strength,Kettlebells,Core
140, Bodyweight Tricep Workout,This workout focuses on building strength in the tricep muscles using only bodyweight exercises.,Beginner,Increase tricep strength,None,Upper Body
141, Yoga for Stress Relief,This yoga routine is designed to help reduce stress and promote relaxation through specific poses and breathing exercises.,Beginner,Reduce stress and promote relaxation,Yoga mat,Mind-Body
142, Medicine Ball Upper Body Workout,This workout uses medicine balls to target the muscles of the upper body for increased strength and conditioning.,Intermediate,Increase upper body strength,Medicine balls,Upper Body
143, Rowing Machine HIIT,This workout involves high-intensity intervals on a rowing machine for a challenging cardio workout.,Advanced,Improve cardiovascular endurance and overall fitness,Rowing machine,Cardio
144, Bodyweight Hamstring and Glute Workout,This workout focuses on building strength in the hamstring and glute muscles using only bodyweight exercises.,Intermediate,Increase hamstring and glute strength,None,Lower Body
145, Yoga for Strength and Balance,This yoga routine combines strength-building poses with balancing exercises for increased strength and balance.,Intermediate,Increase overall strength and balance,Yoga mat,Mind-Body
146, Dumbbell Full-Body Workout,This workout uses dumbbells to target all major muscle groups for a full-body strength-training session.,Intermediate,Increase overall strength and conditioning,Dumbbells,Full Body
147, Resistance Band Shoulder Workout,This workout uses resistance bands to target the muscles of the shoulders for increased strength and conditioning.,Intermediate,Increase shoulder strength,Resistance bands,Upper Body
148, Functional Bodyweight Circuit,This workout involves functional movements targeting all major muscle groups in a circuit format for increased strength and conditioning.,Intermediate-Advanced,Improve functional strength,None,Full Body
149, Yoga for Flexibility and Mobility,This yoga routine is designed to improve overall flexibility and mobility through specific poses and breathing exercises.,Intermediate,Improve flexibility and mobility,Yoga mat,Mind-Body
150, TRX Core and Leg Workout,This workout uses TRX suspension training to target the muscles of the core and legs for increased strength and conditioning.,Intermediate,Increase core and leg strength,TRX,Core/Lower Body
151, Medicine Ball Full-Body Workout,This workout uses medicine balls to target all major muscle groups for a full-body strength-training session.,Intermediate,Increase overall strength and conditioning,Medicine balls,Full Body
152, Bodyweight Arm and Shoulder Circuit,This workout involves bodyweight exercises targeting the muscles of the arms and shoulders in a circuit format.,Intermediate,Increase arm and shoulder strength,None,Upper Body
153, Yoga for Digestion and Detoxification,This yoga routine is designed to aid digestion and promote overall digestive health and detoxification through specific poses and breathing exercises.,Intermediate,Improve digestive health and detoxification,Yoga mat,Mind-Body
154, Resistance Band Bicep and Tricep Workout,This workout uses resistance bands to target the muscles of the biceps and triceps for increased strength and conditioning.,Intermediate,Increase bicep and tricep strength,Resistance bands,Upper Body
155, Kettlebell HIIT Circuit,This workout uses kettlebells in a high-intensity interval format to target all major muscle groups for a full-body challenge.,Advanced,Increase overall strength and conditioning,Kettlebells,Full Body/Cardio
156, Bodyweight Core and Cardio Circuit,This workout involves bodyweight exercises targeting the muscles of the core combined with cardio movements in a circuit format for increased cardiovascular endurance and core strength.,Intermediate,Improve cardiovascular endurance and core strength,None,Core/Cardio
157, Pilates for Posture,This Pilates routine focuses on improving posture and alignment through specific movements and exercises.,Intermediate,Improve posture and alignment,Pilates ball,Mind-Body
158, Dumbbell Back and Shoulder Workout,This workout uses dumbbells to target the muscles of the back and shoulders for increased strength and conditioning.,Intermediate,Increase back and shoulder strength,Dumbbells,Upper Body
159, Yoga for Insomnia,This yoga routine is designed to help alleviate insomnia and promote better sleep through specific poses and breathing exercises.,Beginner,Alleviate insomnia and promote better sleep,Yoga mat,Mind-Body
160, Resistance Band Lower Body Workout,This workout uses resistance bands to target the muscles of the lower body for increased strength and conditioning.,Intermediate,Increase lower body strength,Resistance bands,Lower Body
161, Plyometric Lower Body Workout,"This workout involves explosive, high-intensity movements targeting the muscles of the lower body for increased strength and conditioning.",Advanced,Increase lower body strength and power,None,Lower Body
162, TRX Upper Body and Core Circuit,This workout uses TRX suspension training to target the muscles of the upper body and core in a circuit format for increased strength and conditioning.,Intermediate,Increase upper body and core strength,TRX,Upper Body/Core
163, Bodyweight Chest and Arm Workout,This workout involves bodyweight exercises targeting the muscles of the chest and arms.,Intermediate,Increase chest and arm strength,None,Upper Body
164, Yoga for Balance and Stability,This yoga routine combines balancing poses with stability exercises for increased balance and stability.,Intermediate,Increase balance and stability,Yoga mat,Mind-Body
165, Kettlebell Lower Body Workout,This workout uses kettlebells to target the muscles of the lower body for increased strength and conditioning.,Intermediate,Increase lower body strength,Kettlebells,Lower Body
166, Resistance Band Full-Body HIIT,This workout uses resistance bands in a high-intensity interval format to target all major muscle groups for a full-body challenge.,Advanced,Increase overall strength and conditioning,Resistance bands,Full Body/Cardio
167, Bodyweight Back and Bicep Workout,This workout involves bodyweight exercises targeting the muscles of the back and biceps.,Intermediate,Increase back and bicep strength,None,Upper Body
168, Yoga for Flexibility and Relaxation,This yoga routine is designed to improve overall flexibility and promote relaxation through specific poses and breathing exercises.,Beginner-Intermediate,Improve flexibility and promote relaxation,Yoga mat,Mind-Body
169, Medicine Ball Core and Upper Body Workout,This workout uses medicine balls to target the muscles of the core and upper body for increased strength and conditioning.,Intermediate,Increase core and upper body strength,Medicine balls,Core/Upper Body
170, Dumbbell Leg and Glute Workout,This workout uses dumbbells to target the muscles of the legs and glutes for increased strength and conditioning.,Intermediate,Increase leg and glute strength,Dumbbells,Lower Body
171, Plyometric Upper Body Workout,"This workout involves explosive, high-intensity movements targeting the muscles of the upper body for increased strength and conditioning.",Advanced,Increase upper body strength and power,None,Upper Body
172, TRX Full-Body Strength Circuit,This workout uses TRX suspension training in a circuit format to target all major muscle groups for a full-body challenge.,Intermediate-Advanced,Increase overall strength and conditioning,TRX,Full Body
173, Bodyweight Core Strength and Stability Workout,This workout involves bodyweight exercises targeting the muscles of the core for increased strength and stability.,Intermediate,Increase core strength and stability,None,Core
174, Yoga for Anxiety Relief,This yoga routine is designed to help reduce anxiety and promote calmness through specific poses and breathing exercises.,Beginner-Intermediate,Reduce anxiety and promote calmness,Yoga mat,Mind-Body
175, Resistance Band Arm and Shoulder Workout,This workout uses resistance bands to target the muscles of the arms and shoulders for increased strength and conditioning.,Intermediate,Increase arm and shoulder strength,Resistance bands,Upper Body
176, Dumbbell Full-Body HIIT,This workout uses dumbbells in a high-intensity interval format to target all major muscle groups for a full-body challenge.,Advanced,Increase overall strength and conditioning,Dumbbells,Full Body/Cardio
177, Bodyweight Leg Strength and Stability Workout,This workout involves bodyweight exercises targeting the muscles of the legs for increased strength and stability.,Intermediate,Increase leg strength and stability,None,Lower Body
178, Pilates for Low Back Pain Relief,This Pilates routine is designed to help alleviate low back pain and promote overall back health through specific movements and exercises.,Intermediate,Relieve low back pain and improve back health,Pilates ball,Mind-Body
179, Kettlebell Arm and Shoulder Workout,This workout uses kettlebells to target the muscles of the arms and shoulders for increased strength and conditioning.,Intermediate,Increase arm and shoulder strength,Kettlebells,Upper Body
180, Yoga for Digestion and Bloating Relief,"This yoga routine is designed to aid digestion, alleviate bloating, and promote overall digestive health through specific poses and breathing exercises.",Beginner-Intermediate,Improve digestive health and alleviate bloating,Yoga mat,Mind-Body
